Id,Id2,census.tract,median_age,married,high_school_and_higher,mean_income,Unemployment_rate,median_rent
1400000US36061017700,36061017700,"Census Tract 177, New York County, New York",43.70,33.90,90.10,133257.00,5.60,990.00
1400000US36061017800,36061017800,"Census Tract 178, New York County, New York",31.80,26.70,79.40,47578.00,5.30,1118.00
1400000US36061017900,36061017900,"Census Tract 179, New York County, New York",41.10,39.40,91.80,146357.00,5.80,1460.00
1400000US36061018000,36061018000,"Census Tract 180, New York County, New York",30.00,21.80,72.30,42951.00,12.10,690.00
1400000US36061018100,36061018100,"Census Tract 181, New York County, New York",44.10,39.00,94.20,130859.00,13.10,1002.00
1400000US36061018200,36061018200,"Census Tract 182, New York County, New York",32.70,13.50,66.00,43984.00,10.20,576.00
1400000US36061018300,36061018300,"Census Tract 183, New York County, New York",42.60,38.70,96.00,131816.00,6.20,1828.00
1400000US36061018400,36061018400,"Census Tract 184, New York County, New York",30.00,23.60,78.50,50782.00,10.30,639.00
1400000US36061018500,36061018500,"Census Tract 185, New York County, New York",41.20,44.10,95.90,123696.00,7.20,1701.00
1400000US36061018600,36061018600,"Census Tract 186, New York County, New York",30.40,24.40,70.50,53103.00,10.60,464.00
1400000US36061018700,36061018700,"Census Tract 187, New York County, New York",40.60,41.80,96.00,133424.00,5.20,1855.00
1400000US36061018800,36061018800,"Census Tract 188, New York County, New York",30.40,26.50,61.50,41918.00,10.10,1038.00
1400000US36061018900,36061018900,"Census Tract 189, New York County, New York",41.20,26.50,74.00,70453.00,15.50,827.00
1400000US36061019000,36061019000,"Census Tract 190, New York County, New York",41.50,29.70,84.70,88237.00,5.00,700.00
1400000US36061019100,36061019100,"Census Tract 191, New York County, New York",43.60,41.40,92.50,142553.00,4.80,1731.00
1400000US36061019200,36061019200,"Census Tract 192, New York County, New York",27.30,18.50,61.00,32354.00,20.50,438.00
1400000US36061019300,36061019300,"Census Tract 193, New York County, New York",34.40,26.80,79.50,58574.00,13.00,1144.00
1400000US36061019400,36061019400,"Census Tract 194, New York County, New York",31.60,21.90,58.00,28955.00,12.50,605.00
1400000US36061019500,36061019500,"Census Tract 195, New York County, New York",38.60,37.80,90.00,137496.00,7.80,2000.00
1400000US36061019600,36061019600,"Census Tract 196, New York County, New York",40.80,23.10,58.50,39547.00,10.10,581.00
1400000US36061019701,36061019701,"Census Tract 197.01, New York County, New York",38.40,35.10,98.20,110889.00,11.00,2800.00
1400000US36061019702,36061019702,"Census Tract 197.02, New York County, New York",35.90,19.30,85.40,88401.00,6.60,1190.00
1400000US36061019800,36061019800,"Census Tract 198, New York County, New York",42.60,33.80,87.40,90560.00,9.60,1186.00
1400000US36061019900,36061019900,"Census Tract 199, New York County, New York",29.30,26.40,94.80,117004.00,6.30,1605.00
1400000US36061020000,36061020000,"Census Tract 200, New York County, New York",43.10,27.50,91.30,95936.00,3.80,1111.00
1400000US36061020101,36061020101,"Census Tract 201.01, New York County, New York",21.80,14.60,99.60,147300.00,4.10,1872.00
1400000US36061020102,36061020102,"Census Tract 201.02, New York County, New York",34.40,32.40,86.60,84283.00,5.60,1017.00
1400000US36061020300,36061020300,"Census Tract 203, New York County, New York",20.60,13.70,97.80,70247.00,7.00,1516.00
1400000US36061020500,36061020500,"Census Tract 205, New York County, New York",21.70,27.30,98.90,174707.00,4.90,1872.00
1400000US36061020600,36061020600,"Census Tract 206, New York County, New York",36.90,17.70,77.90,54133.00,8.20,894.00
1400000US36061020701,36061020701,"Census Tract 207.01, New York County, New York",28.30,34.40,98.30,80907.00,3.00,1676.00
1400000US36061020800,36061020800,"Census Tract 208, New York County, New York",33.50,25.20,88.80,83534.00,10.30,996.00
1400000US36061020901,36061020901,"Census Tract 209.01, New York County, New York",36.70,18.80,66.10,38868.00,7.60,655.00
1400000US36061021000,36061021000,"Census Tract 210, New York County, New York",31.30,16.10,86.50,41752.00,13.30,796.00
1400000US36061021100,36061021100,"Census Tract 211, New York County, New York",31.70,33.10,87.30,79740.00,4.50,1099.00
1400000US36061021200,36061021200,"Census Tract 212, New York County, New York",41.70,17.10,88.00,58260.00,8.70,1311.00
1400000US36061021303,36061021303,"Census Tract 213.03, New York County, New York",36.10,24.60,77.80,47908.00,5.90,1148.00
1400000US36061021400,36061021400,"Census Tract 214, New York County, New York",47.00,12.60,89.50,45156.00,10.00,1098.00
1400000US36061021500,36061021500,"Census Tract 215, New York County, New York",29.90,22.20,75.70,48534.00,10.10,925.00
1400000US36061021600,36061021600,"Census Tract 216, New York County, New York",35.80,23.50,80.40,68308.00,7.90,1008.00
1400000US36061021800,36061021800,"Census Tract 218, New York County, New York",31.40,26.70,82.20,69968.00,9.40,1071.00
1400000US36061021900,36061021900,"Census Tract 219, New York County, New York",32.10,15.90,54.70,28006.00,6.70,578.00
1400000US36061022000,36061022000,"Census Tract 220, New York County, New York",35.70,31.40,85.70,74362.00,10.80,1005.00
1400000US36061022102,36061022102,"Census Tract 221.02, New York County, New York",39.20,26.00,92.80,68237.00,14.90,1171.00
1400000US36061022200,36061022200,"Census Tract 222, New York County, New York",34.40,31.00,87.90,79177.00,8.00,1059.00
1400000US36061022301,36061022301,"Census Tract 223.01, New York County, New York",30.10,24.10,61.50,48400.00,11.30,944.00
1400000US36061022302,36061022302,"Census Tract 223.02, New York County, New York",34.50,17.40,76.30,35519.00,12.40,956.00
1400000US36061022400,36061022400,"Census Tract 224, New York County, New York",30.70,18.40,68.90,41818.00,13.80,634.00
1400000US36061022500,36061022500,"Census Tract 225, New York County, New York",35.20,25.10,69.80,54657.00,12.80,1041.00
1400000US36061022600,36061022600,"Census Tract 226, New York County, New York",36.80,31.40,82.10,61453.00,13.50,987.00
1400000US36061022700,36061022700,"Census Tract 227, New York County, New York",32.70,18.00,79.60,66346.00,12.60,1182.00
1400000US36061022800,36061022800,"Census Tract 228, New York County, New York",34.90,24.40,88.50,59684.00,22.70,973.00
1400000US36061022900,36061022900,"Census Tract 229, New York County, New York",35.70,24.90,71.50,56357.00,15.30,1152.00
1400000US36061023000,36061023000,"Census Tract 230, New York County, New York",34.90,17.30,66.30,56798.00,14.20,851.00
1400000US36061023100,36061023100,"Census Tract 231, New York County, New York",32.60,22.60,80.80,62876.00,12.70,1269.00
1400000US36061023200,36061023200,"Census Tract 232, New York County, New York",27.80,21.80,73.50,36184.00,21.70,772.00
1400000US36061023300,36061023300,"Census Tract 233, New York County, New York",33.60,25.50,81.60,68652.00,8.00,1178.00
1400000US36061023400,36061023400,"Census Tract 234, New York County, New York",31.50,16.50,77.80,50038.00,19.90,1097.00
1400000US36061023501,36061023501,"Census Tract 235.01, New York County, New York",36.10,22.10,72.50,49682.00,14.30,930.00
1400000US36061023502,36061023502,"Census Tract 235.02, New York County, New York",33.80,11.50,82.60,39928.00,16.10,1048.00
1400000US36061023600,36061023600,"Census Tract 236, New York County, New York",40.80,24.80,83.70,45243.00,24.40,829.00
1400000US36061023700,36061023700,"Census Tract 237, New York County, New York",33.40,18.20,64.80,49580.00,8.30,1120.00
1400000US36061023801,36061023801,"Census Tract 238.01, New York County, New York",36.60,38.00,90.30,108028.00,5.90,1928.00
1400000US36061023802,36061023802,"Census Tract 238.02, New York County, New York",48.10,25.90,79.90,137750.00,3.90,2800.00
1400000US36061023900,36061023900,"Census Tract 239, New York County, New York",31.80,20.50,71.10,49568.00,15.20,897.00
1400000US36061024100,36061024100,"Census Tract 241, New York County, New York",39.30,21.20,68.80,59771.00,9.60,1095.00
1400000US36061024200,36061024200,"Census Tract 242, New York County, New York",30.20,21.10,68.90,33954.00,13.40,463.00
